地名,センター,プラスチック,ペットボトル,びん,かん,雑誌・雑紙,紙パック,段ボール,新聞,古着・古布,可燃ごみ,不燃ごみ,有害ごみ
大横町,収集地区19,金,隔木20140109,隔月20140106,隔月20140113,隔火20140107,隔火20140107,隔火20140107,隔水20140108,隔月20140106,火 金,隔水20140115,隔水20140115
大和田町１〜７丁目,収集地区14,木,隔水20140115,隔金20140117,隔金20140110,隔月20140113,隔月20140113,隔月20140113,隔水20140108,隔金20140117,火 金,隔火20140107,隔火20140107
小門町,収集地区11,水,隔火20140107,隔木20140109,隔木20140116,隔金20140110,隔金20140110,隔金20140110,隔水20140108,隔木20140109,火 金,隔月20140113,隔月20140113
尾崎町,収集地区7,火,隔月20140106,隔水20140108,隔水20140115,隔木20140109,隔木20140109,隔木20140109,隔水20140108,隔水20140108,火 金,隔金20140117,隔金20140117
小津町,収集地区1,月,隔金20140117,隔火20140114,隔火20140107,隔水20140115,隔水20140115,隔水20140115,隔水20140115,隔火20140114,月 木,隔木20140109,隔木20140109
鹿島,収集地区10,水,隔火20140114,隔木20140116,隔木20140109,隔金20140117,隔金20140117,隔金20140117,隔水20140108,隔木20140116,火 金,隔月20140106,隔月20140106
加住町１〜２丁目,収集地区7,火,隔月20140106,隔水20140108,隔水20140115,隔木20140109,隔木20140109,隔木20140109,隔水20140108,隔水20140108,火 金,隔金20140117,隔金20140117
片倉町,収集地区5,火,隔月20140106,隔水20140108,隔水20140115,隔木20140109,隔木20140109,隔木20140109,隔水20140115,隔水20140108,月 木,隔金20140117,隔金20140117
叶谷町,収集地区17,金,隔木20140109,隔月20140106,隔月20140113,隔火20140107,隔火20140107,隔火20140107,隔水20140115,隔月20140106,月 木,隔水20140115,隔水20140115
上壱分方町,収集地区2,月,隔金20140110,隔火20140107,隔火20140114,隔水20140108,隔水20140108,隔水20140108,隔水20140115,隔火20140107,月 木,隔木20140116,隔木20140116
上恩方町,収集地区2,月,隔金20140110,隔火20140107,隔火20140114,隔水20140108,隔水20140108,隔水20140108,隔水20140115,隔火20140107,月 木,隔木20140116,隔木20140116
上川町,収集地区16,金,隔木20140116,隔月20140113,隔月20140106,隔火20140114,隔火20140114,隔火20140114,隔水20140115,隔月20140113,月 木,隔水20140108,隔水20140108
上柚木,収集地区1,月,隔金20140117,隔火20140114,隔火20140107,隔水20140115,隔水20140115,隔水20140115,隔水20140115,隔火20140114,月 木,隔木20140109,隔木20140109
上柚木２〜３丁目,収集地区5,火,隔月20140106,隔水20140108,隔水20140115,隔木20140109,隔木20140109,隔木20140109,隔水20140115,隔水20140108,月 木,隔金20140117,隔金20140117
川口町,収集地区16,金,隔木20140116,隔月20140113,隔月20140106,隔火20140114,隔火20140114,隔火20140114,隔水20140115,隔月20140113,月 木,隔水20140108,隔水20140108
川町（松子舞団地）,収集地区13,木,隔水20140115,隔金20140117,隔金20140110,隔月20140113,隔月20140113,隔月20140113,隔水20140115,隔金20140117,月 木,隔火20140107,隔火20140107
